Collection No.,Subfamily,L or R,LL,LI,LM,WI,WD,TP,TI,TD
129,Bovinae,,48.6,40.5,47.4,28.3,30.3,17.9,21.3,19.1
130,Bovinae,,47.1,37.5,42.6,27.3,28.4,16,22.3,18.4
131,Bovinae,,47.9,37.2,43.9,28.1,29.2,18.3,23.5,20.8
132,Bovinae,,40.9,32.2,38.6,23.9,25.1,16.1,20.6,15.2
133,Bovinae,,40,32.2,36.8,23.8,25.1,14.4,19.3,16.4
134,Bovinae,,61.2,49.2,55.2,35.2,37.7,24.1,30.1,26.4
135,Bovinae,,58.4,45,52.5,32.6,35.4,21.7,27.8,25.6
136,Bovinae,,60.6,47.3,54.6,34.8,37.4,21.6,29.5,26.6
137,Bovinae,,45.4,35.7,39.8,29.7,29.4,18.8,23.8,20.1
138,Bovinae,,64.3,52.5,60.4,36,38.1,23.8,31.4,29.8
139,Bovinae,,65.2,53.7,61.2,40.6,39.5,26.5,33,27.5
140,Bovinae,,57.1,45.2,53.9,31.5,34.3,20.8,26.8,23.8
141,Bovinae,,56.2,46.8,53.7,34.9,34.1,21.9,27.7,24
142,Bovinae,,64.4,51.8,59.1,38.7,42.3,24.2,31.9,25.8
143,Bovinae,,61.7,50.2,57,37.6,39.5,22.1,30.3,26.6
144,Hippotraginae,,44.7,37.2,42.3,28.5,27.2,17.6,23.2,18.6
145,Hippotraginae,,44.5,36.8,41.7,27.8,26.4,17.3,22.1,19.8
146,Hippotraginae,,41.6,33.3,39.1,27.2,26.7,16.6,22.2,19.2
147,Hippotraginae,,43.9,34.5,40.6,27.7,27.4,16.6,22.7,20.2
148,Hippotraginae,,57.3,45,53.6,37.5,38.2,22.9,29.6,27.8
149,Hippotraginae,,60.7,48.7,57,38.5,36.9,23.6,32.2,28.9
150,Hippotraginae,,53.4,44.6,52.3,34.7,33.9,20.8,27.3,24
151,Hippotraginae,,56.4,45.8,53.9,33.8,34,22.1,29.5,26.1
152,Hippotraginae,,60.3,49.2,55.5,39.1,36.6,23.7,31.4,27
